Produto,Laboratorio
BRINTELLIX,LUNDBECK
MONTELAIR,ACHE
ALBUMINA HUMANA,GRIFOLS BRASIL LTD
SUSTRATE,FQM GRUPO
VITACID,THERASKIN
LEVOFLOXACINO MG,EUROFARMA
MEROPENEM TR-HI MG,BIOCHIMICO
BENICAR TRIPLO,DAIICHI SANKYO
VENALOT,HYPERA AQ T
MAXSULID,MANTECORP FARMASA
EPAREMA,HYPERA AQ T
ACEVITON,CIMED
VASTAREL MR,SERVIER DO BRASIL
KOLLAGENASE C/CLOR,CRISTALIA
DOBEVEN,APSEN
SUCC.DESVENLAFA MG,MEDLEY
ATORVASTATINA MG,CIMED
ESPIRONOLACTONA MG,EUROFARMA
PATANOL S,NOVARTIS
LUCENTIS,NOVARTIS
XALKORI,PFIZER
LACRIMA PLUS,ALCON
REDOXON,BAYER CC
RENU FRESH,BAUSCH & LOMB
NEOSIL ATTACK,USK DERMATOLOGY
MYRBETRIC,ASTELLAS
DIPIRONA MONOID MG,MEDLEY
AJOVY,TEVA
SYSTEN CONTI,THERAMEX
CIT SILDENAFILA MG,NEO QUIMICA
VIGADEXA,NOVARTIS
ALLEGRA D,SANOFI CHC
